,Year(s) Under Review,1972_PR,1972_CL,1972_Status,1973_PR,1973_CL,1973_Status,1974_PR,1974_CL,1974_Status,1975_PR,1975_CL,1975_Status,1976_PR,1976_CL,1976_Status,1977_PR,1977_CL,1977_Status,1978_PR,1978_CL,1978_Status,1979_PR,1979_CL,1979_Status,1980_PR,1980_CL,1980_Status,1981_PR,1981_CL,1981_Status,1982_PR,1982_CL,1982_Status,1983_PR,1983_CL,1983_Status,1984_PR,1984_CL,1984_Status,1985_PR,1985_CL,1985_Status,1986_PR,1986_CL,1986_Status,1987_PR,1987_CL,1987_Status,1988_PR,1988_CL,1988_Status,1989_PR,1989_CL,1989_Status,1990_PR,1990_CL,1990_Status,1991_PR,1991_CL,1991_Status,1992_PR,1992_CL,1992_Status,1993_PR,1993_CL,1993_Status,1994_PR,1994_CL,1994_Status,1995_PR,1995_CL,1995_Status,1996_PR,1996_CL,1996_Status,1997_PR,1997_CL,1997_Status,1998_PR,1998_CL,1998_Status,1999_PR,1999_CL,1999_Status,2000_PR,2000_CL,2000_Status,2001_PR,2001_CL,2001_Status,2002_PR,2002_CL,2002_Status,2003_PR,2003_CL,2003_Status,2004_PR,2004_CL,2004_Status,2005_PR,2005_CL,2005_Status,2006_PR,2006_CL,2006_Status,2007_PR,2007_CL,2007_Status,2008_PR,2008_CL,2008_Status,2009_PR,2009_CL,2009_Status,2010_PR,2010_CL,2010_Status,2011_PR,2011_CL,2011_Status,2012_PR,2012_CL,2012_Status,2013_PR,2013_CL,2013_Status,2014_PR,2014_CL,2014_Status,2015_PR,2015_CL,2015_Status,2016_PR,2016_CL,2016_Status,2017_PR,2017_CL,2017_Status,2018_PR,2018_CL,2018_Status,2019_PR,2019_CL,2019_Status,2020_PR,2020_CL,2020_Status,2021_PR,2021_CL,2021_Status,2022_PR,2022_CL,2022_Status,2023_PR,2023_CL,2023_Status
130,Macedonia,6,6,NF,6,6,NF,6,6,NF,6,6,NF,6,6,NF,6,5,NF,6,5,NF,6,5,NF,6,5,NF,6,5,NF,6,5,NF,6,5,PF,6,5,PF,6,5,PF,6,5,PF,6,5,PF,5,5,PF,5,4,PF,5,4,PF,6,5,NF,6,5,PF,6,6,NF,4,3,PF,4,3,PF,4,3,PF,4,3,PF,3,3,PF,3,3,PF,4,3,PF,4,4,PF,3,3,PF,3,3,PF,3,3,PF,3,3,PF,3,3,PF,3,3,PF,3,3,PF,3,3,PF,3,3,PF,3,3,PF,3,3,PF,3,3,PF,4,3,PF,4,3,PF,4,3,PF,4,3,PF,4,3,PF,3,3,PF,3,3,PF,3,3,PF,3,3,PF,3,3,PF
131,Norway,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F
132,Oman,7,6,NF,7,6,NF,7,6,NF,7,6,NF,6,6,NF,6,6,NF,6,6,NF,6,6,NF,6,6,NF,6,6,NF,6,6,NF,6,6,NF,6,6,NF,6,6,NF,6,6,NF,6,6,NF,6,6,NF,6,6,NF,6,6,NF,6,6,NF,6,5,PF,6,6,NF,6,6,NF,6,6,NF,6,6,NF,6,6,NF,6,6,NF,6,6,NF,6,5,NF,6,5,NF,6,5,NF,6,5,NF,6,5,NF,6,5,NF,6,5,NF,6,5,NF,6,5,NF,6,5,NF,6,5,NF,6,5,NF,6,5,NF,6,5,NF,6,5,NF,6,5,NF,6,5,NF,6,5,NF,6,5,NF,6,5,NF,6,5,NF,6,5,NF,6,5,NF,6,5,NF
133,Pakistan,3,5,PF,3,5,PF,3,5,PF,5,5,PF,4,5,PF,6,4,PF,6,5,PF,6,5,NF,7,5,NF,7,5,NF,7,5,NF,7,5,NF,7,5,NF,4,5,PF,4,5,PF,4,5,PF,3,3,PF,3,3,PF,4,4,PF,4,5,PF,4,5,PF,3,5,PF,3,5,PF,3,5,PF,4,5,PF,4,5,PF,4,5,PF,7,5,NF,6,5,NF,6,5,NF,6,5,NF,6,5,NF,6,5,NF,6,5,NF,6,5,NF,6,5,NF,4,5,PF,4,5,PF,4,5,PF,4,5,PF,4,5,PF,4,5,PF,4,5,PF,4,5,PF,4,5,PF,4,5,PF,5,5,PF,5,5,PF,5,5,PF,5,5,PF,5,5,PF,5,5,PF
134,Palau,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,F,1,2,F,1,2,F,1,2,F,1,2,F,1,2,F,1,2,F,1,2,F,1,2,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F
135,Panama,7,6,NF,7,6,NF,7,6,NF,7,6,NF,7,6,NF,6,5,NF,5,5,PF,5,5,PF,4,4,PF,5,5,PF,5,5,PF,5,4,PF,4,3,PF,6,3,PF,6,3,PF,5,5,PF,6,5,NF,7,6,NF,4,2,PF,4,2,PF,4,3,PF,3,3,PF,2,3,F,2,3,F,2,3,F,2,3,F,2,3,F,1,2,F,1,2,F,1,2,F,1,2,F,1,2,F,1,2,F,1,2,F,1,2,F,1,2,F,1,2,F,1,2,F,1,2,F,1,2,F,1,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,1,2,F,1,2,F,2,2,F,2,2,F,2,2,F,2,2,F
136,Papua New Guinea,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,3,F,2,2,F,2,3,F,2,3,F,2,3,F,2,4,PF,2,4,PF,2,4,PF,2,4,PF,2,4,PF,2,3,F,2,3,F,2,3,F,2,3,F,2,3,F,3,3,PF,3,3,PF,3,3,PF,3,3,PF,3,3,PF,4,3,PF,4,3,PF,4,3,PF,4,3,PF,4,3,PF,3,3,PF,4,3,PF,4,3,PF,3,3,PF,3,3,PF,4,3,PF,4,3,PF,4,3,PF,4,3,PF,4,3,PF,4,3,PF
137,Paraguay,4,6,PF,5,5,PF,5,5,PF,5,5,PF,5,6,NF,5,6,NF,5,5,PF,5,5,PF,5,5,PF,5,5,PF,5,5,PF,5,5,PF,5,5,PF,5,5,PF,5,6,PF,5,6,PF,6,6,NF,4,3,PF,4,3,PF,3,3,PF,3,3,PF,3,3,PF,4,3,PF,4,3,PF,4,3,PF,4,3,PF,4,3,PF,4,3,PF,4,3,PF,4,3,PF,4,3,PF,3,3,PF,3,3,PF,3,3,PF,3,3,PF,3,3,PF,3,3,PF,3,3,PF,3,3,PF,3,3,PF,3,3,PF,3,3,PF,3,3,PF,3,3,PF,3,3,PF,3,3,PF,3,3,PF,3,3,PF,3,3,PF,3,3,PF,3,3,PF,3,3,PF
138,Peru,7,5,NF,7,5,NF,6,6,NF,6,4,PF,6,4,PF,6,4,PF,5,4,PF,5,4,PF,2,3,F,2,3,F,2,3,F,2,3,F,2,3,F,2,3,F,2,3,F,2,3,F,2,3,F,2,4,PF,3,4,PF,3,5,PF,6,5,PF,5,5,PF,5,4,PF,5,4,PF,4,3,PF,5,4,PF,5,4,PF,5,4,PF,3,4,PF,1,3,F,2,3,F,2,3,F,2,3,F,2,3,F,2,3,F,2,3,F,2,3,F,2,3,F,2,3,F,2,3,F,2,3,F,2,3,F,2,3,F,2,3,F,2,3,F,2,3,F,2,3,F,2,3,F,3,3,PF,2,3,F,3,3,PF,3,3,PF
139,Philippines,4,6,PF,5,5,PF,5,5,PF,5,5,PF,5,5,PF,5,5,PF,5,5,PF,5,5,PF,5,5,PF,5,4,PF,5,4,PF,5,5,PF,4,4,PF,4,3,PF,4,2,PF,2,2,F,2,3,F,2,3,F,3,3,PF,3,3,PF,3,3,PF,3,4,PF,3,4,PF,2,4,PF,2,3,F,2,3,F,2,3,F,2,3,F,2,3,F,2,3,F,2,3,F,2,3,F,2,3,F,3,3,PF,3,3,PF,4,3,PF,4,3,PF,4,3,PF,3,3,PF,3,3,PF,3,3,PF,3,3,PF,3,3,PF,3,3,PF,3,3,PF,3,3,PF,3,3,PF,3,4,PF,3,4,PF,3,4,PF,3,4,PF,3,4,PF
140,Poland,6,6,NF,6,6,NF,6,6,NF,6,6,NF,6,6,NF,6,5,NF,6,5,PF,6,5,PF,6,4,PF,7,5,NF,7,5,NF,6,5,PF,6,5,PF,6,5,PF,6,5,PF,5,5,PF,5,5,PF,4,3,PF,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,1,2,F,1,2,F,1,2,F,1,2,F,1,2,F,1,2,F,1,2,F,1,2,F,1,2,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,2,F,1,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F
141,Portugal,5,6,NF,5,6,NF,5,3,PF,5,3,PF,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,1,2,F,1,2,F,1,2,F,1,2,F,1,2,F,1,2,F,1,2,F,1,2,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F
142,Qatar,6,5,NF,6,5,NF,6,5,NF,6,5,NF,5,5,PF,5,5,PF,5,5,PF,5,5,PF,5,5,PF,5,5,PF,5,5,PF,5,5,PF,5,5,PF,5,5,PF,5,5,PF,5,5,PF,5,5,PF,7,5,NF,7,5,NF,7,5,NF,7,6,NF,7,6,NF,7,6,NF,7,6,NF,7,6,NF,7,6,NF,7,6,NF,6,6,NF,6,6,NF,6,6,NF,6,6,NF,6,6,NF,6,5,NF,6,5,NF,6,5,NF,6,5,NF,6,5,NF,6,5,NF,6,5,NF,6,5,NF,6,5,NF,6,5,NF,6,5,NF,6,5,NF,6,5,NF,6,5,NF,6,5,NF,6,5,NF,6,5,NF,6,5,NF,6,5,NF,6,5,NF
143,Romania,7,6,NF,7,6,NF,7,6,NF,7,6,NF,7,6,NF,7,6,NF,7,6,NF,7,6,NF,7,6,NF,7,6,NF,7,6,NF,7,6,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,6,5,NF,5,5,PF,4,4,PF,4,4,PF,4,3,PF,4,3,PF,2,3,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,3,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F
144,Russia,6,6,NF,6,6,NF,6,6,NF,7,6,NF,7,6,NF,7,6,NF,6,6,NF,6,6,NF,6,7,NF,6,7,NF,6,7,NF,6,7,NF,7,7,NF,7,7,NF,7,7,NF,7,6,NF,6,5,NF,6,5,NF,5,4,PF,3,3,PF,3,4,PF,3,4,PF,3,4,PF,3,4,PF,3,4,PF,3,4,PF,4,4,PF,4,5,PF,5,5,PF,5,5,PF,5,5,PF,5,5,PF,6,5,NF,6,5,NF,6,5,NF,6,5,NF,6,5,NF,6,5,NF,6,5,NF,6,5,NF,6,5,NF,6,5,NF,6,6,NF,6,6,NF,7,6,NF,7,6,NF,7,6,NF,7,6,NF,7,6,NF,7,6,NF,7,6,NF,7,6,NF
145,Rwanda,7,6,NF,7,6,NF,7,5,NF,7,5,NF,7,5,NF,7,5,NF,6,6,NF,6,6,NF,6,6,NF,6,6,NF,6,6,NF,6,6,NF,6,6,NF,6,6,NF,6,6,NF,6,6,NF,6,6,NF,6,6,NF,6,6,NF,6,6,NF,6,5,NF,6,5,NF,7,7,NF,7,6,NF,7,6,NF,7,6,NF,7,6,NF,7,6,NF,7,6,NF,7,6,NF,7,5,NF,6,5,NF,6,5,NF,6,5,NF,6,5,NF,6,5,NF,6,5,NF,6,5,NF,6,5,NF,6,5,NF,6,6,NF,6,5,NF,6,6,NF,6,6,NF,6,6,NF,6,6,NF,6,6,NF,6,6,NF,6,6,NF,6,6,NF,6,6,NF,6,6,NF
146,Samoa,4,2,PF,4,2,PF,4,2,PF,4,2,PF,4,2,PF,4,2,PF,4,2,PF,4,2,PF,4,3,PF,4,3,PF,4,3,PF,4,3,PF,4,3,PF,4,3,PF,4,3,PF,4,3,PF,4,3,PF,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,3,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F
147,San Marino,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F
148,Sao Tome and Principe,-,-,-,-,-,-,-,-,-,5,5,PF,5,5,PF,6,5,NF,6,6,NF,6,6,NF,6,6,NF,6,6,NF,6,6,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,6,7,NF,6,5,NF,5,5,PF,2,3,F,2,3,F,1,2,F,1,2,F,1,2,F,1,2,F,1,2,F,1,2,F,1,2,F,1,2,F,1,2,F,1,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F
149,Saudi Arabia,6,6,NF,6,6,NF,6,6,NF,6,6,NF,6,6,NF,6,6,NF,6,6,NF,6,6,NF,6,6,NF,6,6,NF,6,6,NF,6,7,NF,6,7,NF,6,7,NF,6,7,NF,6,7,NF,6,7,NF,7,6,NF,7,6,NF,7,6,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,6,NF,7,6,NF,7,6,NF,7,6,NF,7,6,NF,7,6,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF
150,Senegal,6,6,NF,6,6,NF,6,5,NF,6,4,PF,6,4,PF,5,3,PF,4,3,PF,4,4,PF,4,4,PF,4,4,PF,4,4,PF,4,4,PF,3,4,PF,3,4,PF,3,4,PF,3,4,PF,3,4,PF,4,3,PF,4,3,PF,4,3,PF,4,3,PF,4,5,PF,4,5,PF,4,5,PF,4,4,PF,4,4,PF,4,4,PF,4,4,PF,3,4,PF,3,4,PF,2,3,F,2,3,F,2,3,F,2,3,F,2,3,F,2,3,F,3,3,PF,3,3,PF,3,3,PF,3,3,PF,2,3,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,3,F,3,3,PF,3,3,PF,3,3,PF,3,3,PF,3,3,PF
151,Republic of Serbia,6,6,NF,6,6,NF,6,6,NF,6,6,NF,6,6,NF,6,5,NF,6,5,NF,6,5,NF,6,5,NF,6,5,NF,6,5,NF,6,5,PF,6,5,PF,6,5,PF,6,5,PF,6,5,PF,5,5,PF,5,4,PF,5,4,PF,6,5,NF,6,5,PF,6,6,NF,6,6,NF,6,6,NF,6,6,NF,6,6,NF,6,6,NF,5,5,PF,4,4,PF,3,3,PF,3,2,F,3,2,F,3,2,F,3,2,F,-,-,-,3,2,F,3,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,3,2,F,3,2,F,3,3,PF,4,3,PF,4,3,PF,4,3,PF,4,3,PF,4,3,PF
152,Serbia and Montenegro,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,2,F,3,2,F,3,2,F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
153,Seychelles,-,-,-,-,-,-,-,-,-,-,-,-,1,2,F,6,3,PF,6,5,PF,6,6,NF,6,6,NF,6,6,NF,6,6,NF,6,6,NF,6,6,NF,6,6,NF,6,6,NF,6,6,NF,6,6,NF,6,6,NF,6,6,NF,6,6,NF,6,4,PF,3,4,PF,3,4,PF,3,3,PF,3,3,PF,3,3,PF,3,3,PF,3,3,PF,3,3,PF,3,3,PF,3,3,PF,3,3,PF,3,3,PF,3,3,PF,3,3,PF,3,3,PF,3,3,PF,3,3,PF,3,3,PF,3,3,PF,3,3,PF,3,3,PF,3,3,PF,3,3,PF,3,3,PF,3,3,PF,3,3,PF,3,3,PF,2,3,F,2,2,F,2,2,F,2,2,F
154,Sierra Leone,4,5,PF,6,5,PF,6,5,PF,6,5,PF,6,5,PF,5,5,PF,5,5,PF,5,5,PF,5,5,PF,5,5,PF,5,5,PF,5,5,PF,4,5,PF,5,5,PF,5,5,PF,5,5,PF,5,5,PF,6,5,PF,6,5,PF,6,5,PF,7,6,NF,7,6,NF,7,6,NF,7,6,NF,4,5,PF,7,6,NF,3,5,PF,3,5,PF,4,5,PF,4,5,PF,4,4,PF,4,3,PF,4,3,PF,4,3,PF,4,3,PF,3,3,PF,3,3,PF,3,3,PF,3,3,PF,3,3,PF,2,3,F,3,3,PF,3,3,PF,3,3,PF,3,3,PF,3,3,PF,3,3,PF,3,3,PF,3,3,PF,3,3,PF,3,3,PF,3,3,PF
155,Singapore,5,5,PF,5,5,PF,5,5,PF,5,5,PF,5,5,PF,5,5,PF,5,5,PF,5,5,PF,5,5,PF,4,5,PF,4,5,PF,4,5,PF,4,5,PF,4,5,PF,4,5,PF,4,5,PF,4,5,PF,4,4,PF,4,4,PF,4,4,PF,4,5,PF,5,5,PF,5,5,PF,5,5,PF,4,5,PF,5,5,PF,5,5,PF,5,5,PF,5,5,PF,5,5,PF,5,4,PF,5,4,PF,5,4,PF,5,4,PF,5,4,PF,5,4,PF,5,4,PF,5,4,PF,5,4,PF,4,4,PF,4,4,PF,4,4,PF,4,4,PF,4,4,PF,4,4,PF,4,4,PF,4,4,PF,4,4,PF,4,4,PF,4,4,PF,4,4,PF,4,4,PF
156,Slovakia,7,7,NF,7,7,NF,7,7,NF,7,6,NF,7,6,NF,7,6,NF,7,6,NF,7,6,NF,7,6,NF,7,6,NF,7,6,NF,7,6,NF,7,6,NF,7,6,NF,7,6,NF,7,6,NF,7,6,NF,6,6,NF,2,2,F,2,2,F,2,2,F,3,4,PF,2,3,F,2,3,F,2,4,PF,2,4,PF,2,2,F,1,2,F,1,2,F,1,2,F,1,2,F,1,2,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,2,F,1,2,F,1,1,F,1,1,F,1,1,F,1,1,F
157,Slovenia,6,6,NF,6,6,NF,6,6,NF,6,6,NF,6,6,NF,6,5,NF,6,5,NF,6,5,NF,6,5,NF,6,5,NF,6,5,NF,6,5,PF,6,5,PF,6,5,PF,6,5,PF,6,5,PF,5,5,PF,5,4,PF,5,4,PF,6,5,NF,6,5,PF,6,6,NF,1,2,F,1,2,F,1,2,F,1,2,F,1,2,F,1,2,F,1,2,F,1,2,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,2,F,1,1,F,1,1,F
158,Solomon Islands,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,3,F,2,3,F,2,2,F,2,2,F,2,2,F,1,1,F,1,1,F,1,1,F,1,1,F,1,2,F,1,2,F,1,2,F,1,2,F,1,2,F,1,2,F,1,2,F,4,4,PF,4,4,PF,3,3,PF,3,3,PF,3,3,PF,3,3,PF,4,3,PF,4,3,PF,4,3,PF,4,3,PF,4,3,PF,4,3,PF,4,3,PF,4,3,PF,3,3,PF,3,3,PF,3,2,F,3,2,F,2,2,F,2,2,F,2,2,F,2,2,F,3,2,F,3,2,F
159,Somalia,7,6,NF,7,6,NF,7,6,NF,7,6,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,6,7,NF,6,7,NF,6,7,NF,6,7,NF,6,7,NF,6,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF
160,South Africa,2(5),3(6),F (NF),4,5,PF,4,5,PF,4,5,PF,4,5,PF,5,6,PF,5,6,PF,5,6,PF,5,6,PF,5,6,NF,5,6,NF,5,6,PF,5,6,PF,5,6,PF,5,6,PF,5,6,PF,5,6,PF,6,5,PF,5,4,PF,5,4,PF,5,4,PF,5,4,PF,2,3,F,1,2,F,1,2,F,1,2,F,1,2,F,1,2,F,1,2,F,1,2,F,1,2,F,1,2,F,1,2,F,1,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F
161,South Korea,5,6,NF,4,6,PF,5,6,PF,5,5,PF,5,6,PF,5,5,PF,4,5,PF,4,5,PF,5,6,PF,5,5,PF,5,5,PF,5,6,PF,5,5,PF,4,5,PF,4,5,PF,4,4,PF,2,3,F,2,3,F,2,3,F,2,3,F,2,3,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,1,2,F,1,2,F,1,2,F,1,2,F,1,2,F,1,2,F,1,2,F,1,2,F,1,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F,2,2,F
162,South Sudan,6,6,NF,6,6,NF,6,6,NF,6,6,NF,6,6,NF,6,5,NF,5,5,PF,5,5,PF,5,5,PF,5,5,PF,5,5,PF,5,5,PF,6,6,NF,6,6,NF,4,5,PF,4,5,PF,4,5,PF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,6,5,NF,6,5,NF,6,6,NF,7,6,NF,7,6,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF,7,7,NF
163,Spain,5,6,NF,5,6,NF,5,5,PF,5,5,PF,5,3,PF,2,3,F,2,2,F,2,2,F,2,3,F,2,3,F,2,3,F,1,2,F,1,2,F,1,2,F,1,2,F,1,2,F,1,2,F,1,1,F,1,1,F,1,1,F,1,1,F,1,2,F,1,2,F,1,2,F,1,2,F,1,2,F,1,2,F,1,2,F,1,2,F,1,2,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F,1,1,F
